accX,accY,accZ,gyrX,gyrY,gyrZ,label,scaled_gx,scaled_gy,scaled_gz
-15168,2152,636,5819,5552,4574,walking,0.177599756,0.261086601,0.312802123
-14840,1880,680,5068,2722,3544,walking,0.154680705,0.143851364,0.276591257
-14796,1700,948,2695,-840,1803,walking,0.082261387,-0.003707616,0.215384345
-14620,1700,352,-1347,-3574,-192,walking,-0.041092546,-0.116965969,0.145247763
-17832,2564,360,-5027,-7206,-797,walking,-0.153398947,-0.26742476,0.123978273
-15904,2308,1280,-5458,-8796,-1049,walking,-0.166552224,-0.333291907,0.115118916
-13904,960,-1080,1573,-5589,2580,walking,0.048020142,-0.200439114,0.242700698
-17172,2196,-932,-236,-10342,-3405,walking,-0.007186999,-0.397336316,0.032290953
-14856,996,776,-1955,935,-1897,walking,-0.059647517,0.069823319,0.085306474
-17264,2628,376,-9013,11368,-6153,walking,-0.27504387,0.502019512,-0.064318234
-16876,3436,828,-1890,12866,-2186,walking,-0.057663844,0.564075478,0.075146338
-14136,1996,1324,-2783,6672,2676,walking,-0.084916457,0.307483585,0.246075691
-15112,2368,812,-1098,7377,4993,walking,-0.033493553,0.33668883,0.327532563
-14636,2216,1224,-225,-1589,4090,walking,-0.006851301,-0.034735599,0.295786532
-12592,1416,1136,1377,-2664,4427,walking,0.042038605,-0.079268419,0.307634165
-17156,1496,2072,7435,-21666,5015,walking,0.226916915,-0.866442967,0.328305999
-18272,1988,2496,-4250,-4001,-2293,walking,-0.129686427,-0.134654819,0.071384626
-15812,1796,2484,6702,-2143,-8311,walking,0.204547189,-0.057685536,-0.140185273
-15600,240,388,-3455,-498,-3186,walking,-0.105424582,0.010460034,0.039990156
-15452,2620,924,-25328,-524,-5943,walking,-0.772945754,0.009382962,-0.056935436
-14332,3796,1372,975,1922,-2910,walking,0.029770352,0.110710661,0.049693262
-15464,2056,428,3523,3211,696,walking,0.107530327,0.164108619,0.176466452
-14180,2052,1116,-377,7759,386,walking,-0.011490043,0.352513515,0.165568036
-11776,2964,1844,32767,6197,3407,walking,1,0.287806293,0.27177486
-20556,68,972,-1386,2828,8302,walking,-0.04228275,0.148242507,0.443864367
-11480,2164,192,22408,8193,1367,walking,0.683863584,0.370492347,0.20005625
-12160,-888,220,-5172,1722,-5898,walking,-0.157824063,0.102425485,-0.055353408
-13148,1640,176,1332,-4623,1915,walking,0.040665293,-0.160421715,0.219321837
-17248,3932,2320,6934,-10316,-8529,walking,0.211627375,-0.396259243,-0.147849321
-16676,1656,2084,4933,-5750,-7941,walking,0.150560769,-0.207108681,-0.127177486
-15360,796,-316,415,-3318,2367,walking,0.012680247,-0.106360944,0.235212431
-10260,1888,-4776,2900,-1978,2463,walking,0.088517586,-0.050850266,0.238587425
-17588,3700,-696,6141,-411,-3585,walking,0.187426566,0.014064086,0.02596284
-17172,2420,1700,1172,5368,1942,walking,0.035782406,0.253464239,0.220271054
-14856,3384,3388,-4272,13380,4788,walking,-0.130357824,0.58536838,0.320325546
-15016,2128,1688,-4897,4976,5620,walking,-0.149431601,0.237225295,0.349575489
-12660,1828,-144,-12234,1270,10075,walking,-0.373342489,0.083700988,0.506196277
-16236,2608,2236,-13332,-5571,6640,walking,-0.406851301,-0.199693448,0.385434794
-16096,2912,724,-15045,-8591,-6591,walking,-0.45912871,-0.324799602,-0.079716641
-14200,1560,1084,759,-4740,-8922,walking,0.023178454,-0.165268543,-0.1616657
-16092,2768,-272,-3799,-2651,-5753,walking,-0.115922789,-0.078729883,-0.050255761
-16124,3068,416,-3398,3716,-6228,walking,-0.103685054,0.185028687,-0.066954947
-14192,2052,280,-8483,8407,-1241,walking,-0.258869306,0.379357485,0.108368929
-15640,3500,1332,-13470,7824,2099,walking,-0.411062791,0.355206197,0.225790575
-13540,1160,1056,-21401,9000,7297,walking,-0.653101396,0.403923031,0.408532405
-13840,3236,1268,-7891,-4928,8035,walking,-0.240802625,-0.173056608,0.434477667
-15692,2188,768,3153,-10266,7416,walking,0.096238651,-0.394187949,0.412715991
-15376,2232,728,-2244,-10008,4838,walking,-0.068467231,-0.383500072,0.322083355
-15692,1804,-56,-8241,-2307,1957,walking,-0.25148394,-0.06447938,0.220798397
-14696,2024,-576,-12920,3485,419,walking,-0.394277867,0.175459309,0.16672819
-15296,2932,508,-9426,8034,-2048,walking,-0.287647822,0.363905632,0.079997891
-16544,3432,1792,-5225,12994,-2809,walking,-0.15944152,0.56937799,0.053244037
-15428,3032,2140,-1698,13125,-278,walking,-0.051804379,0.574804781,0.142224332
-15048,5440,2868,285,523,6474,walking,0.008712902,0.052755857,0.379598868
-15016,2336,3864,565,1172,2063,walking,0.017257954,0.079641252,0.224524952
-14996,2476,2932,-4830,-3553,4665,walking,-0.147386893,-0.116096025,0.316001336
-15152,2472,1940,-7284,-8810,2037,walking,-0.222278172,-0.33387187,0.223610891
-15436,2212,812,-3210,-12685,2052,walking,-0.097947662,-0.49439715,0.224138234
-15272,2300,-192,1291,-10215,-1767,walking,0.039414054,-0.392075229,0.089876778
-15216,2376,-116,-2058,-2163,-6356,walking,-0.062790875,-0.058514054,-0.071454939
-15784,2900,92,-3689,5319,-5960,walking,-0.112565805,0.251434371,-0.057533091
-15324,3188,708,-3022,9461,-5370,walking,-0.092210269,0.423020361,-0.036790944
